Leq( Avg),total vehicles,2W,3W,4w,HV,Distance of residents from the road,Age,Health Hazards,,,,,,,,,,,
80.65,777,557,60,137,23,60.5,3,5,,,,,,,,,,,
93.75,862,601,82,152,27,91.8,4,3,,,,,,,,,,,
86.15,710,512,64,113,21,38.08,1,5,,,,,,,,,,,
98.65,809,610,55,124,20,123.92,2,4,,,,,,,,,,,
91.45,786,555,69,135,27,353.87,2,3,,,,,,,,,,,
83.40,824,586,72,135,31,393.98,2,4,,,,,,,,,,,
92.80,787,560,62,138,27,26.87,4,2,,,,,,,,,,,
84.60,874,604,84,153,33,8.12,3,5,,,,,,,,,,,
88.30,718,515,66,114,23,6.67,2,4,,,,,,,,,,,
89.50,821,613,57,125,26,12.45,2,5,,,,,,,,,,,
81.00,798,558,71,136,33,46.72,3,5,,,,,,,,,,,
92.00,854,589,74,154,37,11,2,4,,,,,,,,,,,
81.40,807,599,64,117,27,10.08,3,3,,,,,,,,,,,
89.20,770,510,86,135,39,86.29,4,5,,,,,,,,,,,
88.70,834,608,68,136,22,33.22,3,3,,,,,,,,,,,
77.25,804,553,59,169,23,7.21,3,3,,,,,,,,,,,
81.71,787,584,73,113,17,12.99,2,4,,,,,,,,,,,
79.75,774,558,76,124,16,47.26,2,3,,,,,,,,,,,
84.25,732,508,66,135,23,11.54,4,4,,,,,,,,,,,
83.45,822,606,59,130,27,10.62,2,3,,,,,,,,,,,
85.92,765,551,73,114,27,86.83,4,5,,,,,,,,,,,
95.68,792,582,76,122,12,33.76,3,2,,,,,,,,,,,
91.68,769,556,66,129,18,28.148,2,2,,,,,,,,,,,
97.70,851,600,88,144,19,9.398,2,5,,,,,,,,,,,
90.59,724,511,70,122,21,7.948,3,2,,,,,,,,,,,
78.35,824,609,61,134,20,13.728,5,3,,,,,,,,,,,
93.75,792,554,75,143,20,47.998,3,5,,,,,,,,,,,
86.15,820,585,78,134,23,12.278,4,2,,,,,,,,,,,
98.65,851,612,68,147,24,11.358,3,2,,,,,,,,,,,
91.45,788,557,90,118,23,87.568,3,3,,,,,,,,,,,
80.95,804,588,72,123,21,34.498,4,5,,,,,,,,,,,
90.95,784,562,63,135,24,8.488,1,4,,,,,,,,,,,
80.65,859,606,77,162,14,14.268,2,5,,,,,,,,,,,
88.25,719,517,59,118,25,48.538,2,4,,,,,,,,,,,
89.55,811,615,50,125,21,12.818,3,3,,,,,,,,,,,
75.25,788,560,64,139,25,11.898,4,5,,,,,,,,,,,
95.68,820,591,67,143,19,88.108,3,2,,,,,,,,,,,
83.25,805,589,57,138,21,35.038,5,4,,,,,,,,,,,
97.70,789,563,79,122,25,29.426,4,2,,,,,,,,,,,
90.59,817,607,61,120,29,10.676,1,4,,,,,,,,,,,
73.25,711,518,52,116,25,9.226,2,3,,,,,,,,,,,
91.43,867,616,66,158,27,15.006,2,4,,,,,,,,,,,
85.67,778,561,69,127,21,393.42,4,2,,,,,,,,,,,
84.10,813,592,59,144,18,26.31,5,3,,,,,,,,,,,
88.30,850,602,81,138,29,7.56,2,2,,,,,,,,,,,
75.75,750,513,75,133,29,6.11,2,5,,,,,,,,,,,
93.25,811,611,65,107,28,11.89,2,2,,,,,,,,,,,
86.75,785,556,87,115,27,46.16,3,3,,,,,,,,,,,
94.05,805,587,69,121,28,10.44,4,3,,,,,,,,,,,
89.75,849,608,60,153,28,9.52,1,4,,,,,,,,,,,
77.25,761,553,74,107,27,85.73,2,5,,,,,,,,,,,
88.55,796,584,77,115,20,32.66,2,4,,,,,,,,,,,
79.01,793,558,67,134,34,6.65,2,3,,,,,,,,,,,
91.35,888,602,89,164,33,12.43,4,2,,,,,,,,,,,
94.25,737,513,71,119,34,46.7,3,5,,,,,,,,,,,
85.92,822,611,62,121,28,10.98,2,4,,,,,,,,,,,
90.05,794,556,76,129,33,10.06,2,2,,,,,,,,,,,
83.15,834,587,79,147,21,86.27,3,5,,,,,,,,,,,
96.11,793,597,57,122,17,33.2,4,5,,,,,,,,,,,
92.25,735,508,71,127,29,27.588,3,5,,,,,,,,,,,
80.35,829,592,74,135,28,8.838,3,4,,,,,,,,,,,
95.25,784,566,64,124,30,7.388,4,5,,,,,,,,,,,
87.15,866,610,86,143,27,13.168,3,4,,,,,,,,,,,
91.95,748,521,68,132,27,47.438,5,3,,,,,,,,,,,
90.55,836,619,59,136,22,11.718,1,1,,,,,,,,,,,
78.55,778,564,73,117,24,10.798,2,5,,,,,,,,,,,
93.75,800,595,76,115,14,87.008,2,1,,,,,,,,,,,
83.85,830,605,66,129,30,33.938,5,4,,,,,,,,,,,
80.55,785,516,88,162,19,7.928,4,4,,,,,,,,,,,
83.85,806,614,70,101,21,13.708,3,5,,,,,,,,,,,
86.95,808,607,61,118,22,61.28,2,5,,,,,,,,,,,
90.55,778,552,65,139,22,92.58,2,4,,,,,,,,,,,
82.15,829,583,68,162,16,38.86,5,3,,,,,,,,,,,
90.55,813,610,58,116,29,124.7,2,5,,,,,,,,,,,
90.75,814,555,80,151,28,354.65,3,5,,,,,,,,,,,
80.95,785,586,62,108,29,394.76,4,5,,,,,,,,,,,
88.85,752,560,53,116,23,27.65,3,4,,,,,,,,,,,
81.35,821,604,67,122,28,8.9,3,3,,,,,,,,,,,
92.85,816,596,70,131,19,7.45,4,3,,,,,,,,,,,
87.45,783,591,60,106,26,13.23,1,4,,,,,,,,,,,
76.05,792,565,82,114,31,47.5,2,2,,,,,,,,,,,
91.35,818,609,64,121,24,11.78,2,4,,,,,,,,,,,
79.01,737,520,58,133,26,10.86,4,5,,,,,,,,,,,
88.25,835,618,72,115,30,87.07,1,1,,,,,,,,,,,
87.45,826,563,75,152,36,34,2,5,,,,,,,,,,,
73.20,794,594,65,103,32,7.99,5,4,,,,,,,,,,,
94.20,851,604,87,123,37,13.77,2,5,,,,,,,,,,,
80.60,756,525,69,138,24,48.04,3,5,,,,,,,,,,,
96.10,843,623,60,129,31,12.32,4,4,,,,,,,,,,,
89.20,799,568,74,135,22,11.4,3,3,,,,,,,,,,,
76.25,810,599,77,110,24,87.61,3,5,,,,,,,,,,,
89.25,810,609,61,110,30,34.54,4,5,,,,,,,,,,,
86.85,731,520,75,116,20,28.928,5,4,,,,,,,,,,,
94.55,867,618,78,148,23,10.178,2,3,,,,,,,,,,,
91.85,826,611,68,117,30,8.728,2,5,,,,,,,,,,,
80.55,771,513,90,134,34,14.508,4,4,,,,,,,,,,,
95.68,838,611,72,131,24,48.778,1,3,,,,,,,,,,,
86.15,790,556,63,136,35,13.058,2,5,,,,,,,,,,,
90.85,845,587,77,155,26,12.138,2,4,,,,,,,,,,,
94.05,779,561,83,108,27,88.348,2,2,,,,,,,,,,,
78.25,817,605,65,126,21,35.278,3,5,,,,,,,,,,,
93.25,721,516,56,127,22,9.268,4,4,,,,,,,,,,,
80.55,867,614,70,160,23,15.048,1,5,,,,,,,,,,,
86.95,765,559,73,104,29,49.318,2,3,,,,,,,,,,,
83.25,794,590,57,115,32,13.598,2,5,,,,,,,,,,,
73.85,845,617,71,126,31,12.678,2,5,,,,,,,,,,,
93.75,762,523,74,131,34,88.888,4,5,,,,,,,,,,,
86.15,821,621,64,105,31,35.818,5,4,,,,,,,,,,,
98.65,847,614,86,113,34,30.206,2,3,,,,,,,,,,,
91.45,791,559,85,120,27,11.456,5,2,,,,,,,,,,,
75.53,820,590,67,135,28,10.006,3,4,,,,,,,,,,,
87.30,823,617,58,113,35,15.786,2,3,,,,,,,,,,,
81.10,795,562,72,125,36,394.2,3,2,,,,,,,,,,,
85.64,838,593,78,134,33,27.09,4,4,,,,,,,,,,,
88.90,792,567,60,125,40,8.34,3,5,,,,,,,,,,,
83.15,833,611,51,138,33,6.89,3,4,,,,,,,,,,,
91.65,804,603,65,109,27,12.67,4,5,,,,,,,,,,,
79.25,803,598,68,114,23,46.94,1,4,,,,,,,,,,,
93.45,763,572,52,113,26,11.22,2,3,,,,,,,,,,,
87.45,781,573,66,115,27,10.3,2,5,,,,,,,,,,,
75.68,824,604,69,128,23,86.51,1,4,,,,,,,,,,,
93.65,883,614,85,156,28,33.44,2,3,,,,,,,,,,,
81.75,722,525,67,109,21,7.43,2,5,,,,,,,,,,,
92.25,830,623,58,127,22,13.21,2,5,,,,,,,,,,,
91.25,832,616,72,128,16,47.48,4,5,,,,,,,,,,,
75.67,781,518,75,164,24,11.76,3,4,,,,,,,,,,,
84.05,822,616,65,118,23,10.84,2,3,,,,,,,,,,,
80.10,796,561,87,121,27,87.05,2,3,,,,,,,,,,,
79.05,812,592,69,131,20,33.98,3,5,,,,,,,,,,,
81.92,807,566,61,151,29,28.368,5,4,,,,,,,,,,,
75.46,800,610,52,116,22,9.618,5,3,,,,,,,,,,,
87.12,733,521,66,124,22,8.168,4,3,,,,,,,,,,,
83.45,781,563,69,121,28,13.948,3,5,,,,,,,,,,,
91.25,837,607,59,139,32,48.218,2,4,,,,,,,,,,,
79.25,747,518,81,120,28,12.498,2,4,,,,,,,,,,,
72.49,835,616,63,126,30,11.578,3,5,,,,,,,,,,,
82.12,779,561,54,140,24,87.788,2,4,,,,,,,,,,,
79.75,820,592,68,134,26,34.718,3,3,,,,,,,,,,,
91.25,809,566,71,139,33,8.708,5,5,,,,,,,,,,,
92.25,819,610,61,110,38,14.488,2,5,,,,,,,,,,,
72.49,744,521,83,115,25,62.06,2,4,,,,,,,,,,,
79.25,848,619,79,127,23,93.36,2,4,,,,,,,,,,,
84.55,825,564,75,154,32,39.64,4,5,,,,,,,,,,,
90.25,802,595,71,105,31,125.48,3,5,,,,,,,,,,,
89.45,829,605,67,125,32,355.43,2,5,,,,,,,,,,,
78.95,751,516,63,140,32,395.54,2,5,,,,,,,,,,,
83.45,835,614,59,131,31,28.43,3,4,,,,,,,,,,,
79.01,832,617,55,137,23,9.68,2,3,,,,,,,,,,,
89.75,796,610,51,112,23,8.23,5,5,,,,,,,,,,,
83.45,749,555,57,112,25,14.01,4,4,,,,,,,,,,,
71.35,787,586,53,118,30,48.28,3,3,,,,,,,,,,,
87.75,868,613,85,150,20,12.56,2,5,,,,,,,,,,,
84.25,769,558,67,119,25,11.64,3,5,,,,,,,,,,,
93.85,812,589,58,136,29,87.85,4,4,,,,,,,,,,,
80.30,799,563,72,133,31,34.78,3,5,,,,,,,,,,,
71.30,847,607,75,138,27,8.77,2,2,,,,,,,,,,,
88.30,793,599,59,104,31,14.55,2,4,,,,,,,,,,,
81.00,805,594,73,111,27,48.82,2,5,,,,,,,,,,,
89.50,805,568,76,132,29,13.1,4,2,,,,,,,,,,,
87.10,850,606,66,155,23,12.18,3,5,,,,,,,,,,,
76.43,821,598,88,109,26,88.39,2,5,,,,,,,,,,,
89.55,813,593,88,107,25,35.32,5,4,,,,,,,,,,,
80.30,795,567,70,129,29,29.708,3,5,,,,,,,,,,,
83.45,869,611,61,162,35,10.958,2,5,,,,,,,,,,,
87.15,739,522,75,111,31,9.508,3,5,,,,,,,,,,,
77.01,851,620,78,118,35,15.288,5,4,,,,,,,,,,,
87.15,781,565,62,129,25,49.558,3,3,,,,,,,,,,,
80.65,848,596,76,139,37,13.838,2,5,,,,,,,,,,,
94.95,819,606,79,114,20,12.918,2,1,,,,,,,,,,,
90.35,737,527,69,119,22,89.128,3,3,,,,,,,,,,,
77.25,871,625,89,127,30,36.058,2,5,,,,,,,,,,,
87.63,791,570,73,116,32,10.048,3,1,,,,,,,,,,,
79.01,845,601,86,130,28,15.828,4,3,,,,,,,,,,,
88.85,844,611,68,132,33,50.098,2,4,,,,,,,,,,,
85.85,748,522,59,137,30,14.378,4,2,,,,,,,,,,,
77.25,788,594,73,105,16,13.458,3,5,,,,,,,,,,,
87.25,807,592,79,114,22,89.668,2,5,,,,,,,,,,,
82.45,776,566,61,122,27,36.598,2,3,,,,,,,,,,,
98.65,855,610,52,164,29,30.986,3,3,,,,,,,,,,,
84.85,744,521,66,128,29,12.236,2,1,,,,,,,,,,,
78.84,844,619,69,126,30,10.786,3,5,,,,,,,,,,,
95.25,783,564,53,140,26,16.566,4,3,,,,,,,,,,,
83.45,853,595,67,170,21,394.98,3,1,,,,,,,,,,,
96.11,810,605,70,112,23,27.87,5,3,,,,,,,,,,,
87.45,766,516,60,166,24,9.12,2,4,,,,,,,,,,,
78.85,851,614,82,130,25,7.67,3,5,,,,,,,,,,,
86.63,791,559,79,128,25,13.45,2,3,,,,,,,,,,,
79.75,844,614,63,139,28,47.72,3,5,,,,,,,,,,,
80.55,803,559,77,139,28,12,4,4,,,,,,,,,,,
85.65,816,590,80,117,29,11.08,2,3,,,,,,,,,,,
78.45,825,600,70,125,30,87.29,5,4,,,,,,,,,,,
93.75,758,521,92,117,28,34.22,5,2,,,,,,,,,,,
80.65,870,619,74,141,36,8.21,2,5,,,,,,,,,,,
92.75,776,564,65,122,25,13.99,2,4,,,,,,,,,,,
88.81,862,595,79,168,20,48.26,3,5,,,,,,,,,,,
76.05,815,605,85,107,18,12.54,2,5,,,,,,,,,,,
93.75,730,516,67,128,19,11.62,3,4,,,,,,,,,,,
86.15,845,614,58,153,20,87.83,4,3,,,,,,,,,,,
92.75,833,607,72,137,17,34.76,3,5,,,,,,,,,,,
91.45,743,509,75,142,17,29.148,2,3,,,,,,,,,,,
78.35,803,607,59,113,24,10.398,3,4,,,,,,,,,,,
89.45,728,517,73,114,24,8.948,2,1,,,,,,,,,,,
78.84,843,615,76,125,27,14.728,3,2,,,,,,,,,,,
92.53,793,560,66,143,24,48.998,4,5,,,,,,,,,,,
85.79,818,591,88,111,28,13.278,3,4,,,,,,,,,,,
80.65,859,601,87,150,21,12.358,2,1,,,,,,,,,,,
97.70,736,512,69,134,21,88.568,2,2,,,,,,,,,,,
86.15,840,610,60,142,28,35.498,2,5,,,,,,,,,,,
91.45,825,555,74,163,33,9.488,4,2,,,,,,,,,,,
86.63,802,586,80,111,25,15.268,3,4,,,,,,,,,,,
74.65,768,560,62,122,24,62.84,2,5,,,,,,,,,,,
83.15,741,510,53,143,35,94.14,2,2,,,,,,,,,,,
79.45,876,608,67,166,35,40.42,3,5,,,,,,,,,,,
95.25,777,553,70,120,34,126.26,2,5,,,,,,,,,,,
87.45,790,584,54,118,34,356.21,3,4,,,,,,,,,,,
77.95,785,558,68,132,27,396.32,4,2,,,,,,,,,,,
86.95,844,602,71,142,29,29.21,3,5,,,,,,,,,,,
83.61,748,513,87,117,31,10.46,3,5,,,,,,,,,,,
88.45,841,611,69,136,25,9.01,5,5,,,,,,,,,,,
88.45,807,556,60,163,28,14.79,1,1,,,,,,,,,,,
77.28,744,521,74,114,35,49.06,2,4,,,,,,,,,,,
79.25,902,619,77,167,39,13.34,2,5,,,,,,,,,,,
84.95,829,612,67,121,29,12.42,2,4,,,,,,,,,,,
97.65,801,557,89,126,29,88.63,2,1,,,,,,,,,,,
88.15,826,588,71,138,29,35.56,3,5,,,,,,,,,,,
82.4,892,675,85,121,11,38.25,3,1,,,,,,,,,,,
95.5,731,540,72,108,11,14.24,2,5,,,,,,,,,,,
87.9,668,493,66,99,10,17.21,4,4,,,,,,,,,,,
100.4,969,723,97,138,11,55.53,3,3,,,,,,,,,,,
93.2,509,386,50,65,8,17.01,2,5,,,,,,,,,,,
85.1,551,405,54,80,12,54.52,3,4,,,,,,,,,,,
94.5,770,620,68,73,9,50.76,4,2,,,,,,,,,,,
86.3,729,535,77,104,13,14.33,3,1,,,,,,,,,,,
90,596,423,59,105,9,21.27,1,3,,,,,,,,,,,
91.2,603,398,81,109,15,40,5,5,,,,,,,,,,,
82,777,557,60,137,23,272.03,4,4,,,,,,,,,,,
93,857,601,82,152,22,298.44,4,2,,,,,,,,,,,
82.4,710,512,64,113,21,195,1,1,,,,,,,,,,,
90.2,805,610,55,124,16,321,3,3,,,,,,,,,,,
89.7,786,555,69,135,27,15.3,4,1,,,,,,,,,,,
79,847,586,72,165,24,11.25,2,5,,,,,,,,,,,
83.46,882,671,82,118,11,14.52,3,4,,,,,,,,,,,
81.5,721,536,69,105,11,21.06,2,3,,,,,,,,,,,
86,658,489,63,96,10,17.27,5,3,,,,,,,,,,,
85.2,959,719,94,135,11,298.186,3,3,,,,,,,,,,,
87.67,499,382,47,62,8,194.746,5,5,,,,,,,,,,,
97.43,541,401,51,77,12,320.746,3,1,,,,,,,,,,,
93.43,768,616,65,70,17,15.046,2,3,,,,,,,,,,,
99.45,719,531,74,101,13,10.996,2,4,,,,,,,,,,,
92.34,586,419,56,102,9,14.266,2,4,,,,,,,,,,,
80.1,593,394,78,106,15,20.806,3,1,,,,,,,,,,,
95.5,767,553,57,134,23,17.016,2,5,,,,,,,,,,,
87.9,847,597,79,149,22,297.932,2,2,,,,,,,,,,,
100.4,700,508,61,110,21,194.492,3,4,,,,,,,,,,,
93.2,795,606,52,121,16,40,2,4,,,,,,,,,,,
82.7,781,542,74,142,23,15.99,3,1,,,,,,,,,,,
92.7,705,495,56,137,17,18.96,2,4,,,,,,,,,,,
82.4,924,725,78,111,10,57.28,4,2,,,,,,,,,,,
90,576,388,57,119,12,18.76,2,5,,,,,,,,,,,
91.3,618,407,79,115,17,56.27,3,5,,,,,,,,,,,
77,868,622,61,174,11,52.51,4,3,,,,,,,,,,,
97.43,714,537,52,109,16,16.08,3,5,,,,,,,,,,,
85,601,425,66,96,14,23.02,2,5,,,,,,,,,,,
99.45,572,400,69,90,13,41.75,2,2,,,,,,,,,,,
92.34,768,559,79,119,11,273.78,2,3,,,,,,,,,,,
75,743,603,66,62,12,300.19,4,5,,,,,,,,,,,
93.43,656,514,60,65,17,196.75,3,4,,,,,,,,,,,
87.67,792,612,91,71,18,38.6,3,2,,,,,,,,,,,
86.1,701,557,44,87,13,14.59,2,4,,,,,,,,,,,
90.3,752,588,48,105,11,17.56,2,3,,,,,,,,,,,
78,826,614,64,124,24,55.88,4,5,,,,,,,,,,,
95.5,690,529,73,68,20,17.36,2,5,,,,,,,,,,,
89,558,417,55,69,17,54.87,3,2,,,,,,,,,,,
96.3,565,392,77,77,19,51.11,3,3,,,,,,,,,,,
92,730,551,56,100,23,14.68,3,4,,,,,,,,,,,
79,810,595,78,120,17,21.62,3,3,,,,,,,,,,,
90.3,685,506,60,106,13,40.35,4,3,,,,,,,,,,,
80.76,809,604,51,139,15,272.38,1,4,,,,,,,,,,,
93.1,770,540,73,145,12,298.79,2,2,,,,,,,,,,,
96,660,493,55,106,6,195.35,2,4,,,,,,,,,,,
87.67,925,723,77,117,8,271.47,4,5,,,,,,,,,,,
91.8,587,386,56,137,8,297.88,1,1,,,,,,,,,,,
84.9,615,405,78,127,5,194.44,2,5,,,,,,,,,,,
97.86,799,620,60,112,7,320.44,5,4,,,,,,,,,,,
94,721,535,51,116,19,14.74,2,5,,,,,,,,,,,
82.1,628,423,65,123,17,10.69,3,5,,,,,,,,,,,
97,654,398,68,167,21,13.96,4,4,,,,,,,,,,,
88.9,750,557,78,95,20,20.5,3,3,,,,,,,,,,,
93.7,772,601,65,91,15,16.71,3,5,,,,,,,,,,,
92.3,674,512,59,79,24,297.626,4,5,,,,,,,,,,,
80.3,848,610,90,125,23,194.186,5,4,,,,,,,,,,,
95.5,672,555,43,54,20,195.87,2,3,,,,,,,,,,,
85.6,719,586,47,72,14,321.87,2,5,,,,,,,,,,,
82.3,761,612,63,68,18,16.17,4,4,,,,,,,,,,,
85.6,707,527,72,99,9,12.12,1,3,,,,,,,,,,,
88.7,576,415,54,100,7,15.39,2,5,,,,,,,,,,,
92.3,604,390,76,131,7,21.93,2,4,,,,,,,,,,,
83.9,930,717,65,133,15,18.14,2,2,,,,,,,,,,,
92.3,589,380,59,134,16,299.056,3,5,,,,,,,,,,,
92.5,610,399,90,101,20,195.616,4,4,,,,,,,,,,,
82.7,776,614,43,108,11,321.616,4,5,,,,,,,,,,,
90.6,704,529,47,117,11,15.916,3,3,,,,,,,,,,,
83.1,624,417,63,127,17,319.946,3,3,,,,,,,,,,,
94.6,576,392,72,91,21,14.246,2,4,,,,,,,,,,,
89.2,727,551,54,105,17,10.196,2,3,,,,,,,,,,,
77.8,794,595,76,107,16,13.466,4,4,,,,,,,,,,,
93.1,742,506,55,160,21,20.006,2,3,,,,,,,,,,,
80.76,788,604,77,95,12,16.216,4,5,,,,,,,,,,,
90,697,540,59,92,6,297.132,3,2,,,,,,,,,,,
89.2,631,493,50,78,10,193.692,2,2,,,,,,,,,,,
75,929,723,72,126,8,39.2,2,5,,,,,,,,,,,
96,512,386,54,63,9,15.19,3,2,,,,,,,,,,,
82.4,557,405,76,69,7,18.16,5,3,,,,,,,,,,,
97.9,750,620,55,65,10,56.48,1,5,,,,,,,,,,,
91,713,535,77,89,12,17.96,2,5,,,,,,,,,,,
78,577,423,59,88,7,55.47,3,4,,,,,,,,,,,
91,571,398,50,116,7,51.71,4,2,,,,,,,,,,,
88.6,750,557,64,112,17,15.28,3,1,,,,,,,,,,,
96.3,809,601,67,123,18,22.22,2,4,,,,,,,,,,,
93.6,691,512,77,90,12,40.95,4,2,,,,,,,,,,,
82.3,788,610,64,101,13,272.98,2,5,,,,,,,,,,,
97.43,742,555,58,117,12,197.217,3,5,,,,,,,,,,,
87.9,819,586,89,128,16,39.067,4,3,,,,,,,,,,,
92.6,759,612,42,90,15,15.057,3,5,,,,,,,,,,,
95.8,689,527,46,106,10,18.027,2,5,,,,,,,,,,,
80,614,415,62,116,21,56.347,2,2,,,,,,,,,,,
95,626,390,71,157,8,17.827,2,4,,,,,,,,,,,
82.3,761,531,75,132,23,55.337,3,3,,,,,,,,,,,
88.7,636,419,57,136,24,51.577,4,5,,,,,,,,,,,
85,606,394,79,103,30,15.147,3,3,,,,,,,,,,,
75.6,740,553,58,107,22,22.087,3,3,,,,,,,,,,,
95.5,818,597,80,126,15,40.817,2,4,,,,,,,,,,,
87.9,713,508,62,120,23,272.847,2,3,,,,,,,,,,,
100.4,777,606,53,96,22,299.257,4,4,,,,,,,,,,,
93.2,732,542,75,97,18,195.817,2,3,,,,,,,,,,,
77.43,681,495,57,114,15,271.937,4,5,,,,,,,,,,,
89.2,981,725,79,155,22,298.347,3,2,,,,,,,,,,,
83,558,388,58,97,15,194.907,2,2,,,,,,,,,,,
87.54,582,407,80,84,11,320.907,2,5,,,,,,,,,,,
90.8,782,622,62,85,13,15.207,3,2,,,,,,,,,,,
84.9,716,537,53,116,10,11.157,5,3,,,,,,,,,,,
